fold,target,feature
0,wgd,TP53 (7157)_damaging
0,wgd,TP53 (7157)_hotspot
0,wgd,TERT (7015)_hotspot
0,wgd,BRAF (673)_hotspot
0,wgd,ID3 (3399)_damaging
0,wgd,KRAS (3845)_hotspot
0,wgd,CREBBP (1387)_damaging
0,wgd,TTN (7273)_damaging
0,wgd,LRP1B (53353)_damaging
0,wgd,APC (324)_damaging
1,wgd,TP53 (7157)_damaging
1,wgd,TP53 (7157)_hotspot
1,wgd,BRAF (673)_hotspot
1,wgd,TERT (7015)_hotspot
1,wgd,CREBBP (1387)_damaging
1,wgd,KRAS (3845)_hotspot
1,wgd,ID3 (3399)_damaging
1,wgd,LRP1B (53353)_damaging
1,wgd,RB1 (5925)_damaging
1,wgd,BCOR (54880)_damaging
2,wgd,TP53 (7157)_damaging
2,wgd,TP53 (7157)_hotspot
2,wgd,TERT (7015)_hotspot
2,wgd,BRAF (673)_hotspot
2,wgd,ID3 (3399)_damaging
2,wgd,LRP1B (53353)_damaging
2,wgd,RB1 (5925)_damaging
2,wgd,PDS5B (23047)_damaging
2,wgd,GNA13 (10672)_damaging
2,wgd,RPL22 (6146)_damaging
3,wgd,TP53 (7157)_damaging
3,wgd,TP53 (7157)_hotspot
3,wgd,BRAF (673)_hotspot
3,wgd,TERT (7015)_hotspot
3,wgd,ID3 (3399)_damaging
3,wgd,TTN (7273)_damaging
3,wgd,APC (324)_damaging
3,wgd,BCOR (54880)_damaging
3,wgd,LRP1B (53353)_damaging
3,wgd,GNA13 (10672)_damaging
4,wgd,TP53 (7157)_damaging
4,wgd,TP53 (7157)_hotspot
4,wgd,TERT (7015)_hotspot
4,wgd,BRAF (673)_hotspot
4,wgd,TTN (7273)_damaging
4,wgd,KRAS (3845)_hotspot
4,wgd,RB1 (5925)_damaging
4,wgd,ID3 (3399)_damaging
4,wgd,LRP1B (53353)_damaging
4,wgd,APC (324)_damaging
0,cin,TP53 (7157)_damaging
0,cin,TP53 (7157)_hotspot
0,cin,BRAF (673)_hotspot
0,cin,TERT (7015)_hotspot
0,cin,RB1 (5925)_damaging
0,cin,ID3 (3399)_damaging
0,cin,PITX1 (5307)_damaging
0,cin,RB1 (5925)_hotspot
0,cin,PIK3CA (5290)_hotspot
0,cin,TTN (7273)_damaging
1,cin,TP53 (7157)_damaging
1,cin,TP53 (7157)_hotspot
1,cin,RB1 (5925)_damaging
1,cin,ID3 (3399)_damaging
1,cin,TERT (7015)_hotspot
1,cin,BRAF (673)_hotspot
1,cin,ASXL1 (171023)_damaging
1,cin,TYRO3 (7301)_damaging
1,cin,CREBBP (1387)_damaging
1,cin,KRAS (3845)_hotspot
2,cin,TP53 (7157)_damaging
2,cin,TP53 (7157)_hotspot
2,cin,TERT (7015)_hotspot
2,cin,RB1 (5925)_damaging
2,cin,BRAF (673)_hotspot
2,cin,ID3 (3399)_damaging
2,cin,KRAS (3845)_hotspot
2,cin,LRP1B (53353)_damaging
2,cin,NFE2L2 (4780)_hotspot
2,cin,PDS5B (23047)_damaging
3,cin,TP53 (7157)_damaging
3,cin,TP53 (7157)_hotspot
3,cin,TERT (7015)_hotspot
3,cin,ID3 (3399)_damaging
3,cin,BRAF (673)_hotspot
3,cin,CREBBP (1387)_damaging
3,cin,RB1 (5925)_damaging
3,cin,PIK3CA (5290)_hotspot
3,cin,SLFN11 (91607)_damaging
3,cin,ASXL1 (171023)_damaging
4,cin,TP53 (7157)_damaging
4,cin,TP53 (7157)_hotspot
4,cin,RB1 (5925)_damaging
4,cin,TERT (7015)_hotspot
4,cin,ID3 (3399)_damaging
4,cin,PIK3CA (5290)_hotspot
4,cin,BRAF (673)_hotspot
4,cin,NFE2L2 (4780)_hotspot
4,cin,LRP1B (53353)_damaging
4,cin,MUC19 (283463)_damaging
0,loh,TP53 (7157)_damaging
0,loh,TP53 (7157)_hotspot
0,loh,RB1 (5925)_damaging
0,loh,KRAS (3845)_hotspot
0,loh,ID3 (3399)_damaging
0,loh,CTCF (10664)_damaging
0,loh,NF2 (4771)_damaging
0,loh,ARID1A (8289)_damaging
0,loh,SMAD4 (4089)_damaging
0,loh,RPL22 (6146)_damaging
1,loh,TP53 (7157)_damaging
1,loh,TP53 (7157)_hotspot
1,loh,RB1 (5925)_damaging
1,loh,ID3 (3399)_damaging
1,loh,NF2 (4771)_damaging
1,loh,NRAS (4893)_hotspot
1,loh,KRAS (3845)_hotspot
1,loh,PITX1 (5307)_damaging
1,loh,SMAD4 (4089)_damaging
1,loh,BRAF (673)_hotspot
2,loh,TP53 (7157)_damaging
2,loh,TP53 (7157)_hotspot
2,loh,ID3 (3399)_damaging
2,loh,MUC19 (283463)_damaging
2,loh,NF2 (4771)_damaging
2,loh,RB1 (5925)_damaging
2,loh,KRAS (3845)_hotspot
2,loh,PITX1 (5307)_damaging
2,loh,KEAP1 (9817)_damaging
2,loh,TTN (7273)_damaging
3,loh,TP53 (7157)_damaging
3,loh,TP53 (7157)_hotspot
3,loh,SMAD4 (4089)_damaging
3,loh,RB1 (5925)_damaging
3,loh,KRAS (3845)_hotspot
3,loh,NRAS (4893)_hotspot
3,loh,NF2 (4771)_damaging
3,loh,APC (324)_damaging
3,loh,ID3 (3399)_damaging
3,loh,ARID1A (8289)_damaging
4,loh,TP53 (7157)_damaging
4,loh,TP53 (7157)_hotspot
4,loh,RB1 (5925)_damaging
4,loh,BRAF (673)_hotspot
4,loh,ID3 (3399)_damaging
4,loh,ARID1A (8289)_damaging
4,loh,KRAS (3845)_hotspot
4,loh,MUC19 (283463)_damaging
4,loh,PITX1 (5307)_damaging
4,loh,NRAS (4893)_hotspot
